[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\conf\urls\__init__.py first seen with mtime 1779617773.1669786
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\urls\__init__.py first seen with mtime 1779617781.4846015
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Python313\Lib\concurrent\futures\_base.py first seen with mtime 1748955274.0
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\utils\translation\reloader.py first seen with mtime 1779617781.5768087
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\contrib\auth\backends.py first seen with mtime 1779617775.665381
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\contrib\auth\__init__.py first seen with mtime 1779617775.6587608
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\utils\version.py first seen with mtime 1779617781.5708444
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Python313\Lib\multiprocessing\context.py first seen with mtime 1748955274.0
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Python313\Lib\linecache.py first seen with mtime 1748955274.0
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\tailwind\templatetags\tailwind_tags.py first seen with mtime 1779617835.5225515
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Python313\DLLs\_ssl.pyd first seen with mtime 1748955340.0
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1779617753.220011
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\template\context.py first seen with mtime 1779617781.4170146
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Python313\Lib\threading.py first seen with mtime 1748955274.0
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\template\loaders\cached.py first seen with mtime 1779617781.4529293
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Python313\DLLs\_lzma.pyd first seen with mtime 1748955340.0
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\forms\formsets.py first seen with mtime 1779617781.1860895
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\core\management\sql.py first seen with mtime 1779617780.8807955
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\db\backends\sqlite3\features.py first seen with mtime 1779617781.046201
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1779617781.1344795
